id,contract_epsilon,B,S,R,D,L,F,r,g,b,nx,ny,nz,gpu_r,raw_reference,safe_reference,positive_r,coefficient_denominator,stable_denominator,tone_reference
legal_original,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.001,0.001,0.001,0.0,0.0,1.0,0.07739938050508499,1.0,1.0,1.0,7.748603820800781e-07,7.73993798228119e-07,1.0
legal_dark_extreme,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,0.015479875728487968,1.0,1.0,1.0,1.7881393432617188e-07,1.547987596456238e-07,1.0
legal_cancellation,0.01,0.5,0.0,0.0,0.0,1.0,0.01,0.000259,0.000259,0.000259,0.0,0.0,1.0,0.9979923367500305,1.0,1.0,1.0,1.004338264465332e-05,1.0023219147115014e-05,1.0
legal_black_constant,0.01,0.99,0.0,0.0,0.99,0.99,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.08926323801279068,0.0,0.08926244965172656,0.0892624482512474,0.00010979884090134284,0.0001097998092083937,0.9900000095367432
legal_black_near_light,0.01,0.99,0.0,0.0,0.99,1.0,0.01,0.0,0.0,0.0,0.4358898943540673,0.0,0.9,0.49726754426956177,0.0,0.49724027554471123,0.4972432851791382,1.9889009634418472e-05,1.9889981444839558e-05,0.9990000008872824
legal_white_grazing,0.01,0.5,0.0,0.0,0.0,0.01,0.01,1.0,1.0,1.0,0.9999499887489374,0.0,0.010001,0.9089944362640381,1.0,0.908994405323872,0.9089944362640381,5.5010787522207524e-05,5.5010787522207524e-05,0.0001000099976384382
legal_color_floor_warp,0.01,0.99,0.99,0.0,0.0,0.01,0.01,0.99999,0.99999,0.99999,-0.9999499887489374,0.0,0.010001,0.7018634080886841,0.9686059780729545,0.9685788434813971,0.9685788750648499,7.246324988589108e-06,7.246324988589108e-06,7.089693757708466e-06
legal_small_shift,0.01,0.5,1e-05,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.8000000715255737,0.8000047999887999,0.8000048691287178,0.8000000715255737,0.2500000357633582,0.2500000357633582,0.8000047928361547
legal_reverse_tone,0.01,0.5,0.0,0.0,0.99,0.01,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.009999996051192284,0.01,0.010000004497171446,0.009999996051192284,0.2499999415874481,0.2499999415874481,0.009999999776482582
legal_shift_max,0.01,0.5,0.99,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.1410672962665558,0.1410673597966589,0.14106735064559106,0.1410672962665558,0.24999995721188698,0.249999957211887,0.14106729286850458
legal_rotation_zero,0.01,0.5,0.99,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.27796509861946106,0.27796524097863823,0.27796521269830377,0.27796509861946106,0.24999997353137934,0.24999997353137932,0.2779651169968324
legal_rotation_full_turn,0.01,0.5,0.99,360.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.27796509861946106,0.27796524097863823,0.27796521269830377,0.27796509861946106,0.24999997353137934,0.24999997353137932,0.2779651169968324
legal_black_singular,0.01,0.5,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.5,,1.0,1.0,5.0067901611328125e-06,4.999999873689376e-06,1.0
legal_white_singular,0.01,0.5,0.0,0.0,0.0,1.0,0.01,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,,0.0,0.0,5.0067901611328125e-06,5.0067901611328125e-06,0.0
