id,B,S,R,D,L,F,r,g,b,nx,ny,nz,gpu_r,requested_r,safe_r,NoFloor_r,Positive_r,Stable_r,stable_denominator,coefficient_denominator,safe_B,base_r,warp_shift,reference_tone
floor_original,0.01,0.0,0.0,1.0,1.0,0.01,0.001,0.001,0.001,0.0,0.0,1.0,0.07739938050508499,1.0,1.0,0.9988816976547241,1.0,1.0,7.73993798228119e-07,7.748603820800781e-07,0.009999999776482582,7.739938155282289e-05,0.0,1.0
floor_dark_A,0.1,0.0,0.0,1.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,0.15479876101016998,1.0,1.0,0.9988816976547241,1.0,1.0,1.547987654123271e-06,1.5497207641601562e-06,0.10000000149011612,1.5479876310564578e-05,0.0,1.0
floor_dark_B,0.5,0.0,0.0,1.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,0.7739937901496887,1.0,1.0,1.0,1.0,1.0,7.739938155282289e-06,7.718801498413086e-06,0.5,1.5479876310564578e-05,0.0,1.0
floor_dark_C,0.01,0.0,0.0,1.0,1.0,0.01,0.01,0.01,0.01,0.0,0.0,1.0,0.773993730545044,1.0,1.0,0.9988815188407898,0.9999999403953552,0.9999999403953552,7.739937691242892e-06,7.748603820800781e-06,0.009999999776482582,0.0007739937864243984,0.0,1.0
floor_white_A,0.9999,0.0,0.0,0.01,0.01,0.01,0.9999,0.9999,0.9999,0.0,0.0,1.0,0.9999977946281433,0.9999977472841478,0.9999977459445432,0.9999977946281433,0.9999977946281433,0.9999977946281433,0.009996746666108614,0.009996746666108614,0.9998999834060669,0.9997724294662476,0.0,0.009999999776482582
floor_white_B,0.999,0.0,0.0,0.001,0.001,0.01,0.9999,0.9999,0.9999,0.0,0.0,1.0,0.9997724294662476,0.9997725269421509,0.9997724324092105,0.9997724294662476,0.9997724294662476,0.9997724294662476,0.0009990000573838684,0.000999000057376763,0.9990000128746033,0.9997724294662476,0.0,0.0010000000474974513
floor_nearwhite_C,0.9999,0.0,0.0,0.001,0.001,0.01,0.99999,0.99999,0.99999,0.0,0.0,1.0,0.9999976754188538,0.9999977271346231,0.999997724727937,0.9999976754188538,0.9999976754188538,0.9999976754188538,0.0009998795391986393,0.0009998795391986393,0.9998999834060669,0.9999772310256958,0.0,0.0010000000474974513
floor_interior,0.0001,0.0,0.0,0.999999,0.999999,0.01,0.001,0.001,0.001,0.0,0.0,1.0,0.0007739929715171456,0.007681836157113565,0.0075819292019724495,0.0076398542150855064,0.0075819287449121475,0.0075819287449121475,1.0208391440829012e-06,1.0130991618950702e-06,9.999999747378752e-05,7.739938155282289e-05,0.0,0.9999989867210388
cancel_zero,1e-05,0.0,0.0,1.0,1.0,0.01,0.0001292,0.0001292,0.0001292,0.0,0.0,1.0,9.999999747378752e-06,1.0,1.0,1.0,1.0,1.0,9.99999949475751e-11,0.0,9.999999747378752e-06,9.999999747378752e-06,0.0,1.0
cancel_above_floor,0.5,0.0,0.0,1.0,1.0,0.01,0.000259,0.000259,0.000259,0.0,0.0,1.0,0.9979923367500305,1.0,1.0,0.9979923367500305,1.0,1.0,1.0023219147115014e-05,1.004338264465332e-05,0.5,2.004643829423003e-05,0.0,1.0
black_clamp,0.9999,0.0,0.0,0.8,0.8,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.28566208481788635,0.0,0.28566206452361415,0.28566208481788635,0.28566208481788635,0.28566208481788635,2.8002317345528606e-05,2.8002316339675003e-05,0.9998999834060669,9.999999747378752e-06,0.0,0.800000011920929
white_clamp,0.5,0.0,0.0,0.0001,0.0001,0.01,1.0,1.0,1.0,0.0,0.0,1.0,0.9089860916137695,1.0,0.9089861320777017,0.9089860916137695,0.9089861512184143,0.9089861512184143,5.500578754001964e-05,5.500578754001964e-05,0.5,0.9999899864196777,0.0,9.999999747378752e-05
nearblack_clamp,0.9999,0.0,0.0,0.8,0.8,0.01,1e-05,1e-05,1e-05,0.0,0.0,1.0,0.28566208481788635,0.03002713974151877,0.28566206452361415,0.28566208481788635,0.28566208481788635,0.28566208481788635,2.8002317345528606e-05,2.8002316339675003e-05,0.9998999834060669,9.999999747378752e-06,0.0,0.800000011920929
brightness_low,1e-07,0.0,0.0,0.999,0.999,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.009891282767057419,9.989003097490861e-05,0.009891415613043361,0.009891282767057419,0.009891416877508163,0.009891416877508163,0.0005049834446853904,0.0005049902202003409,9.999999747378752e-06,0.5000001192092896,0.0,0.9990000128746033
brightness_high,0.9999999,0.0,0.0,0.001,0.001,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.9900953769683838,0.9999001099690777,0.9900954203946206,0.9900953769683838,0.9900953769683838,0.9900953769683838,0.000504996918344644,0.0005049969181741137,0.9999899864196777,0.5000001192092896,0.0,0.0010000000474974513
