id,contract_epsilon,B,S,R,D,L,F,r,g,b,nx,ny,nz,gpu_r,gpu_g,gpu_b,reference_stored,reference_requested,positive_r,reference_at_gpu_tone,reference_tone,gpu_tone,reference_denominator,gpu_denominator_raw
named_front_0p010001,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.010001,0.010001,0.010001,0.0,0.0,1.0,0.774071216583252,0.774071216583252,0.774071216583252,1.0,1.0,1.0,1.0,1.0,1.0,7.740711853115737e-06,7.748603820800781e-06
named_front_0p0101,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.0101,0.0101,0.0101,0.0,0.0,1.0,0.7817336916923523,0.7817336916923523,0.7817336916923523,1.0,1.0,1.0,1.0,1.0,1.0,7.817336998306129e-06,7.808208465576172e-06
named_front_0p011,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.011,0.011,0.011,0.0,0.0,1.0,0.8513931632041931,0.8513931632041931,0.8513931632041931,1.0,1.0,1.0,1.0,1.0,1.0,8.513931343951862e-06,8.52346420288086e-06
named_front_0p012,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.012,0.012,0.012,0.0,0.0,1.0,0.9287925362586975,0.9287925362586975,0.9287925362586975,1.0,1.0,1.0,1.0,1.0,1.0,9.287925578737428e-06,9.298324584960938e-06
named_front_0p0129,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.0129,0.0129,0.0129,0.0,0.0,1.0,0.9970979690551758,0.9970979690551758,0.9970979690551758,1.0,1.0,1.0,1.0,1.0,1.0,9.984520506459756e-06,1.0013580322265625e-05
named_front_0p01292,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.01292,0.01292,0.01292,0.0,0.0,1.0,0.998643696308136,0.998643696308136,0.998643696308136,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,9.999999087303892e-06,1.0013580322265625e-05
named_front_0p013,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.013,0.013,0.013,0.0,0.0,1.0,0.9988815784454346,0.9988815784454346,0.9988815784454346,1.0,1.0,1.0,1.0,1.0,1.0,1.0061919231446398e-05,1.0073184967041016e-05
named_front_0p015,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.015,0.015,0.015,0.0,0.0,1.0,0.9988815784454346,0.9988815784454346,0.9988815784454346,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,1.1609906536864337e-05,1.1622905731201172e-05
named_front_0p02,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.02,0.02,0.02,0.0,0.0,1.0,0.9988815188407898,0.9988815188407898,0.9988815188407898,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,1.5479875382485783e-05,1.5497207641601562e-05
named_front_0p03,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.03,0.03,0.03,0.0,0.0,1.0,0.9988815784454346,0.9988815784454346,0.9988815784454346,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,2.3219813073728675e-05,2.3245811462402344e-05
